time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_redis-cart,custom_monitored_count_redis-cart,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,elapsed,elapsed_min
1619153731.2635515,2500.0,5300.0,3002,6400,70,0.0,0.09424494960513112,124.2,1000,1336.4567804378694,124.2,8598.0,1100.0,10.0,2160,22919,9.407127165445317,2,1,1,271.3555054664612,4.522591757774353
1619153733.7544606,2500.0,5300.0,3002,6400,70,0.0,0.09424494960513112,124.2,1000,1336.4567804378694,124.2,8598.0,1100.0,10.0,2160,22919,9.407127165445317,2,1,1,273.84641456604004,4.564106909434001
1619153735.1366765,2700.0,5200.0,2954,6400,70,0.0,0.10556565101635465,129.8,1000,1377.9936792933174,129.8,8598.0,1100.0,10.0,2498,23663,9.407127165445317,2,1,1,275.2286305427551,4.587143842379252
1619153737.1375346,2400.0,5200.0,2642,6400,70,8.4,0.1043877977434183,135.5,1000,1377.1528827341726,135.5,8598.0,1100.0,10.0,2498,23930,9.407127165445317,2,1,1,277.2294886112213,4.620491476853688
1619153739.445675,2400.0,5200.0,2642,6400,70,8.4,0.1043877977434183,135.5,1000,1377.1528827341726,135.5,8598.0,1100.0,10.0,2498,23930,9.407127165445317,2,1,1,279.53762888908386,4.658960481484731
1619153741.0680525,2000.0,4500.0,2204,5900,120,33.8,0.10212174481828216,156.4,1000,1391.9082677646613,156.4,8598.0,1100.0,10.0,2498,24461,9.277609960906354,2,1,1,281.1600065231323,4.686000108718872
1619153742.9863622,2000.0,4500.0,2204,5900,120,33.8,0.10212174481828216,156.4,1000,1391.9082677646613,156.4,8598.0,1100.0,10.0,2498,24461,9.277609960906354,2,1,1,283.07831621170044,4.717971936861674
1619153745.1493142,1500.0,3900.0,1771,5900,130,33.8,0.09918602342664284,161.2,1000,1401.5958226651785,161.2,8598.0,1200.0,10.0,2498,25185,9.277609960906354,2,1,1,285.241268157959,4.754021135965983
1619153746.955688,1500.0,3900.0,1771,5900,130,33.8,0.09918602342664284,161.2,1000,1401.5958226651785,161.2,8598.0,1200.0,10.0,2498,25185,9.277609960906354,2,1,1,287.04764199256897,4.784127366542816
1619153749.2519658,1600.0,3700.0,1815,5900,130,0.0,0.0970172440577909,153.4,1000,1408.374638603138,153.4,8598.0,1200.0,10.0,2498,25748,9.277609960906354,1,1,1,289.3439197540283,4.822398662567139
1619153750.9523327,1600.0,3700.0,1815,5900,130,0.0,0.0970172440577909,153.4,1000,1408.374638603138,153.4,8598.0,1200.0,10.0,2498,25748,9.4094653725051,1,1,1,291.0442867279053,4.850738112131754
1619153752.980346,1800.0,2500.0,1738,3400,130,0.0,0.09482594996773336,161.5,1000,1421.3530030777501,161.5,8598.0,1300.0,10.0,2498,26343,9.4094653725051,1,1,1,293.0722999572754,4.884538332621257
1619153755.0613835,1800.0,2500.0,1738,3400,130,0.0,0.09482594996773336,161.5,1000,1421.3530030777501,161.5,8598.0,1300.0,10.0,2498,26343,9.4094653725051,1,1,1,295.1533374786377,4.9192222913106285
1619153756.9785612,2100.0,2800.0,2056,4200,190,0.0,0.09253908275913166,142.1,1000,1441.1155632135024,142.1,8598.0,1300.0,10.0,2498,26994,7.056239748359037,1,1,1,297.07051515579224,4.951175252596538
1619153759.0723217,2100.0,2800.0,2011,4200,120,0.0,0.09129115959507364,149.3,1000,1443.8676963699593,149.3,8598.0,1300.0,10.0,2498,27363,7.056239748359037,1,1,1,299.1642756462097,4.986071260770162
1619153761.20771,2100.0,2800.0,2011,4200,120,0.0,0.09129115959507364,149.3,1000,1443.8676963699593,149.3,8598.0,1300.0,10.0,2498,27363,7.056239748359037,1,1,1,301.29966402053833,5.0216610670089725
1619153763.1949046,1800.0,2800.0,1723,4200,56,18.9,0.09603631294899746,175.1,1000,1439.4744231776942,175.1,8598.0,1300.0,10.0,2687,27979,7.056239748359037,1,1,1,303.2868585586548,5.05478097597758
1619153765.1807446,1800.0,2800.0,1723,4200,56,18.9,0.09603631294899746,175.1,1000,1439.4744231776942,175.1,8598.0,1300.0,10.0,2687,27979,7.056239748359037,1,1,1,305.27269864082336,5.08787831068039
1619153767.0237725,1500.0,3400.0,1517,4300,56,18.9,0.09430717394356311,163.5,1000,1445.4722967757878,163.5,8598.0,1300.0,10.0,2687,28492,7.056239748359037,1,1,1,307.11572647094727,5.118595441182454
1619153769.0579488,1200.0,4300.0,1660,5100,56,18.9,0.0935031492500957,156.5,1000,1454.1389978248258,156.5,8598.0,1300.0,10.0,2687,28737,7.056239748359037,1,1,1,309.14990282058716,5.152498380343119
1619153771.8264468,1200.0,4300.0,1660,5100,56,18.9,0.0935031492500957,156.5,1000,1454.1389978248258,156.5,8598.0,1300.0,10.0,2687,28737,10.001956077782518,1,1,1,311.91840076446533,5.198640012741089
1619153774.0510244,1300.0,5600.0,2335,6600,43,0.0,0.09201424559961646,120.7,1000,1476.1993513436453,120.7,8598.0,1300.0,10.0,2687,29202,10.001956077782518,1,1,1,314.1429784297943,5.235716307163239
